Celsius,Fahrenheit,Humidity
7.2,44.96,57.65275159
8.9,48.02,51.36374974
12.8,55.04,89.40451085
12.8,55.04,89.40451085
12.8,55.04,89.40451085
12.2,53.96,92.99352401
11.7,53.06,92.96692663
11.1,51.98,92.93481201
10.6,51.08,92.28570829
10.6,51.08,92.28570829
10,50,92.87536878
10,50,96.05630771
10,50,96.05630771
11.1,51.98,92.93481201
11.7,53.06,89.31759794
11.7,53.06,89.31759794
13.3,55.94,83.70396395
17.8,64.04,64.8595039
18.9,66.02,60.53727408
20,68,56.53567748
21.7,71.06,47.32450548
22.8,73.04,42.51433096
23.3,73.94,39.88161724
18.3,64.94,62.8533434
16.1,60.98,59.87052393
13.3,55.94,74.68874076
12.2,53.96,77.07339089
11.7,53.06,79.65451008
11.1,51.98,86.31354938
10.6,51.08,85.68048119
10,50,86.20244284
9.4,48.92,89.74157439
9,48.2,93.45399464
8.9,48.02,96.02245044
8.9,48.02,92.8151823
9,48.2,93.45399464
8.9,48.02,92.8151823
8.9,48.02,96.02245044
8.9,48.02,96.02245044
9.4,48.92,96.68846429
9.4,48.92,96.68846429
10,50,96.05630771
10.6,51.08,96.07459467
10.6,51.08,96.07459467
11.7,53.06,92.96692663
12.8,55.04,86.48271104
16.7,62.06,72.34682171
17.8,64.04,67.48620587
18.9,66.02,62.98893294
18.9,66.02,65.09837618
19.4,66.92,63.10142584
17.8,64.04,67.48620587
16.7,62.06,67.25861666
21.7,71.06,54.75893009
21.1,69.98,56.80898181
20.6,69.08,58.58335161
17.2,62.96,75.34556411
16.7,62.06,80.35296477
16.1,60.98,83.48051826
16.7,62.06,80.35296477
17.2,62.96,77.84683474
16.7,62.06,80.35296477
16.1,60.98,80.79823363
15,59,83.35112745
13.9,57.02,86.59054881
13.9,57.02,71.83036583
13.3,55.94,66.54138238
12.8,55.04,63.74581526
12.2,53.96,64.05148662
11.7,53.06,63.49453116
12.2,53.96,58.91743695
13.3,55.94,52.93517041
13.9,57.02,50.90931533
13.9,57.02,48.80317778
13.9,57.02,47.10735507
13.3,55.94,48.98191719
13.3,55.94,46.93770498
13.9,57.02,45.14137587
13.3,55.94,46.93770498
13.3,55.94,46.93770498
12.8,55.04,48.49591088
11.7,53.06,52.13198956
11.1,51.98,48.36480169
9.4,48.92,51.87700461
8.9,48.02,53.65376831
8.3,46.94,55.87627483
8.3,46.94,53.49139655
8.3,46.94,49.35254291
